Date,filename,sim_to_hawk,sim_to_dove,hawk_score
2020-11-05,FOMCpresconf20201105.txt,0.150162,0.109244,0.040919
2020-12-16,FOMCpresconf20201216.txt,0.181412,0.112818,0.068593
2021-01-27,FOMCpresconf20210127.txt,0.221850,0.118408,0.103442
2021-03-17,FOMCpresconf20210317.txt,0.220183,0.093337,0.126846
2021-04-28,FOMCpresconf20210428.txt,0.231435,0.093184,0.138251
2021-06-16,FOMCpresconf20210616.txt,0.224113,0.128541,0.095571
2021-07-28,FOMCpresconf20210728.txt,0.226915,0.128339,0.098576
2021-09-22,FOMCpresconf20210922.txt,0.221647,0.110717,0.110931
2021-11-03,FOMCpresconf20211103.txt,0.191167,0.132930,0.058237
2021-12-15,FOMCpresconf20211215.txt,0.204102,0.129218,0.074883
2022-01-26,FOMCpresconf20220126.txt,0.193915,0.123459,0.070455
2022-03-16,FOMCpresconf20220316.txt,0.196913,0.107118,0.089796
2022-05-04,FOMCpresconf20220504.txt,0.160183,0.139393,0.020790
2022-06-15,FOMCpresconf20220615.txt,0.219132,0.124854,0.094278
2022-07-27,FOMCpresconf20220727.txt,0.210777,0.134199,0.076578
2022-09-21,FOMCpresconf20220921.txt,0.210660,0.120624,0.090037
2022-11-02,FOMCpresconf20221102.txt,0.204668,0.157196,0.047472
2022-12-14,FOMCpresconf20221214.txt,0.221939,0.136434,0.085505
2023-02-01,FOMCpresconf20230201.txt,0.224402,0.157318,0.067083
2023-03-22,FOMCpresconf20230322.txt,0.205270,0.112204,0.093066
2023-05-03,FOMCpresconf20230503.txt,0.215861,0.114877,0.100983
2023-06-14,FOMCpresconf20230614.txt,0.233517,0.125594,0.107923
2023-07-26,FOMCpresconf20230726.txt,0.243028,0.125398,0.117630
2023-09-20,FOMCpresconf20230920.txt,0.232229,0.137445,0.094784
2023-11-01,FOMCpresconf20231101.txt,0.242439,0.133243,0.109195
2023-12-13,FOMCpresconf20231213.txt,0.238880,0.160728,0.078153
2024-01-31,FOMCpresconf20240131.txt,0.268143,0.157405,0.110738
2024-03-20,FOMCpresconf20240320.txt,0.236285,0.149653,0.086632
2024-05-01,FOMCpresconf20240501.txt,0.220332,0.155884,0.064448
2024-06-12,FOMCpresconf20240612.txt,0.242481,0.137599,0.104882
2024-07-31,FOMCpresconf20240731.txt,0.223186,0.141501,0.081685
2024-09-18,FOMCpresconf20240918.txt,0.234826,0.138940,0.095886
2024-11-07,FOMCpresconf20241107.txt,0.222230,0.146361,0.075869
2024-12-18,FOMCpresconf20241218.txt,0.209874,0.144472,0.065402
2025-01-29,FOMCpresconf20250129.txt,0.211205,0.170723,0.040483
2025-03-19,FOMCpresconf20250319.txt,0.197032,0.175471,0.021561
2025-05-07,FOMCpresconf20250507.txt,0.211507,0.160495,0.051012
2025-06-18,FOMCpresconf20250618.txt,0.120559,0.085310,0.035249
2025-07-30,FOMCpresconf20250730.txt,0.242936,0.167873,0.075062
2025-09-17,FOMCpresconf20250917.txt,0.225621,0.126934,0.098687
