Date,filename,rate_score,inf_score,guidance_score,qt_score,growth_soft_score,rate_score_z,inf_score_z,guidance_score_z,qt_score_z,growth_soft_score_z,hawk_index,hawk_index_z,stance
2020-11-05,FOMCpresconf20201105.txt,0.086226,0.122338,0.116665,0.128895,0.102336,-2.247181,-2.208422,-2.145491,-1.320174,-2.309650,0.329333,0.401884,Hawkish
2020-12-16,FOMCpresconf20201216.txt,0.105195,0.143112,0.132166,0.143693,0.126733,-1.618930,-1.699021,-1.631591,-0.729693,-1.140357,-0.279452,-0.341014,Dovish
2021-01-27,FOMCpresconf20210127.txt,0.105384,0.163674,0.141290,0.146545,0.156647,-1.612655,-1.194834,-1.329100,-0.615884,0.293298,-1.481417,-1.807769,Dovish
2021-03-17,FOMCpresconf20210317.txt,0.101204,0.158072,0.135283,0.129858,0.141002,-1.751100,-1.332207,-1.528235,-1.281748,-0.456520,-1.016803,-1.240802,Dovish
2021-04-28,FOMCpresconf20210428.txt,0.121223,0.190982,0.142849,0.133114,0.151166,-1.088055,-0.525228,-1.277424,-1.151822,0.030608,-1.041240,-1.270623,Dovish
2021-06-16,FOMCpresconf20210616.txt,0.140070,0.186156,0.170182,0.157989,0.153236,-0.463858,-0.643568,-0.371260,-0.159244,0.129831,-0.539314,-0.658123,Dovish
2021-07-28,FOMCpresconf20210728.txt,0.121680,0.199183,0.156237,0.163124,0.174133,-1.072939,-0.324146,-0.833562,0.045651,1.131373,-1.677622,-2.047197,Dovish
2021-09-22,FOMCpresconf20210922.txt,0.115495,0.162470,0.140954,0.151347,0.156889,-1.277789,-1.224352,-1.340250,-0.424272,0.304928,-1.371594,-1.673752,Dovish
2021-11-03,FOMCpresconf20211103.txt,0.113074,0.158365,0.142088,0.157183,0.151926,-1.357974,-1.325007,-1.302646,-0.191375,0.067042,-1.111293,-1.356107,Dovish
2021-12-15,FOMCpresconf20211215.txt,0.140078,0.179714,0.152967,0.150018,0.139184,-0.463578,-0.801532,-0.941976,-0.477285,-0.543615,-0.127477,-0.155560,Dovish
2022-01-26,FOMCpresconf20220126.txt,0.143436,0.181892,0.157859,0.147813,0.145975,-0.352344,-0.748129,-0.779815,-0.565294,-0.218141,-0.393254,-0.479887,Dovish
2022-03-16,FOMCpresconf20220316.txt,0.154825,0.194938,0.162239,0.146611,0.145783,0.024862,-0.428237,-0.634575,-0.613234,-0.227356,-0.185440,-0.226292,Dovish
2022-05-04,FOMCpresconf20220504.txt,0.158581,0.192663,0.188641,0.166282,0.119760,0.149233,-0.484000,0.240703,0.171667,-1.474570,1.493972,1.823090,Hawkish
2022-06-15,FOMCpresconf20220615.txt,0.163757,0.253614,0.198451,0.155267,0.134949,0.320663,1.010537,0.565922,-0.267856,-0.746626,1.153943,1.408154,Hawkish
2022-07-27,FOMCpresconf20220727.txt,0.167997,0.220890,0.187295,0.160730,0.146561,0.461094,0.208128,0.196092,-0.049875,-0.190089,0.393949,0.480734,Hawkish
2022-09-21,FOMCpresconf20220921.txt,0.170920,0.244196,0.194300,0.170161,0.150833,0.557929,0.779607,0.428298,0.326474,0.014675,0.508402,0.620402,Hawkish
2022-11-02,FOMCpresconf20221102.txt,0.200104,0.244825,0.217043,0.193798,0.156651,1.524502,0.795035,1.182297,1.269635,0.293534,0.899333,1.097454,Hawkish
2022-12-14,FOMCpresconf20221214.txt,0.174858,0.248000,0.204462,0.178256,0.148484,0.688354,0.872871,0.765200,0.649475,-0.097915,0.841889,1.027356,Hawkish
2023-02-01,FOMCpresconf20230201.txt,0.206046,0.263250,0.219566,0.203406,0.166179,1.721289,1.246825,1.265936,1.653037,0.750142,0.721629,0.880602,Hawkish
2023-03-22,FOMCpresconf20230322.txt,0.143072,0.213818,0.154394,0.162030,0.137628,-0.364429,0.034710,-0.894682,0.002017,-0.618203,0.312607,0.381473,Hawkish
2023-05-03,FOMCpresconf20230503.txt,0.184747,0.251190,0.183366,0.184540,0.167858,1.015880,0.951105,0.065829,0.900228,0.830630,-0.097369,-0.118819,Dovish
2023-06-14,FOMCpresconf20230614.txt,0.176782,0.229054,0.189945,0.156328,0.162341,0.752076,0.408315,0.283934,-0.225514,0.566195,-0.261493,-0.319099,Dovish
2023-07-26,FOMCpresconf20230726.txt,0.191691,0.277815,0.200364,0.173565,0.179579,1.245875,1.603960,0.629336,0.462302,1.392401,-0.407033,-0.496701,Dovish
2023-09-20,FOMCpresconf20230920.txt,0.173018,0.235650,0.208448,0.166936,0.142753,0.627407,0.570058,0.897345,0.197759,-0.372598,0.945740,1.154084,Hawkish
2023-11-01,FOMCpresconf20231101.txt,0.196766,0.267034,0.202879,0.183227,0.168522,1.413965,1.339598,0.712735,0.847827,0.862466,0.216065,0.263663,Hawkish
2023-12-13,FOMCpresconf20231213.txt,0.182242,0.247330,0.222139,0.183648,0.146971,0.932902,0.856448,1.351234,0.864646,-0.170420,1.171728,1.429856,Hawkish
2024-01-31,FOMCpresconf20240131.txt,0.195995,0.285455,0.233128,0.189338,0.179371,1.388417,1.791298,1.715541,1.091684,1.382417,0.114318,0.139502,Hawkish
2024-03-20,FOMCpresconf20240320.txt,0.170989,0.229161,0.208042,0.190967,0.159247,0.560220,0.410925,0.883902,1.156666,0.417937,0.334992,0.408789,Hawkish
2024-05-01,FOMCpresconf20240501.txt,0.163726,0.248041,0.218534,0.183680,0.144282,0.319642,0.873880,1.231719,0.865905,-0.299291,1.122077,1.369268,Hawkish
2024-06-12,FOMCpresconf20240612.txt,0.160215,0.234666,0.195219,0.165027,0.156088,0.203369,0.545931,0.458766,0.121596,0.266516,0.065899,0.080417,Hawkish
2024-07-31,FOMCpresconf20240731.txt,0.172026,0.220291,0.194138,0.172892,0.158051,0.594550,0.193435,0.422926,0.435429,0.360597,0.050988,0.062220,Hawkish
2024-09-18,FOMCpresconf20240918.txt,0.163117,0.244470,0.197086,0.171682,0.167455,0.299493,0.786318,0.520669,0.387171,0.811341,-0.312928,-0.381866,Dovish
2024-11-07,FOMCpresconf20241107.txt,0.168027,0.226788,0.191897,0.173898,0.178623,0.462095,0.352751,0.348655,0.475566,1.346564,-0.936798,-1.143172,Dovish
2024-12-18,FOMCpresconf20241218.txt,0.165991,0.210492,0.193040,0.166773,0.152785,0.394664,-0.046847,0.386526,0.191271,0.108223,0.123181,0.150317,Hawkish
2025-01-29,FOMCpresconf20250129.txt,0.147396,0.201620,0.196823,0.157812,0.157687,-0.221190,-0.264380,0.511946,-0.166310,0.343156,-0.378140,-0.461443,Dovish
2025-03-19,FOMCpresconf20250319.txt,0.140462,0.173469,0.191701,0.175364,0.130867,-0.450864,-0.954659,0.342135,0.534069,-0.942236,0.809906,0.988327,Hawkish
2025-05-07,FOMCpresconf20250507.txt,0.161480,0.219347,0.204001,0.158047,0.147987,0.245274,0.170286,0.749930,-0.156910,-0.121716,0.373861,0.456221,Hawkish
2025-06-18,FOMCpresconf20250618.txt,0.104208,0.123283,0.125811,0.048973,0.070803,-1.651618,-2.185250,-1.842262,-4.509237,-3.820968,1.273876,1.554508,Hawkish
